subject,congruency,accuracy,rt
2,congruent,1,0.44109999999403954
2,incongruent,1,0.6120999999940395
2,congruent,1,0.49309999999403953
2,incongruent,1,0.5926999999880791
2,incongruent,1,0.6169000000059605
2,incongruent,1,0.6589000000059605
2,congruent,1,0.492
2,congruent,1,0.46309999999403956
2,incongruent,1,0.5183000000119209
2,congruent,1,0.5362000000178814
2,congruent,1,0.600300000011921
2,incongruent,1,0.5389000000059605
2,incongruent,1,0.5563999999761582
2,congruent,1,0.5874000000059605
2,congruent,1,0.5275999999940395
2,incongruent,1,0.5869000000059604
2,incongruent,1,0.5810999999940395
2,incongruent,1,0.5489000000059605
2,congruent,1,0.505
2,incongruent,1,0.5033000000119209
2,congruent,1,0.4551999999880791
2,incongruent,1,0.5439000000059605
2,congruent,1,0.464
2,congruent,0,0.4725
2,congruent,1,0.5172999999821186
2,congruent,1,0.49730000001192093
2,congruent,1,0.4454000000059605
2,incongruent,1,0.6837000000178814
2,congruent,1,0.4775
2,incongruent,0,0.4813000000119209
2,incongruent,1,0.5616999999880791
2,incongruent,1,0.5195
2,congruent,1,0.4602000000178814
2,incongruent,1,0.5487999999821186
2,incongruent,1,0.6359000000059605
2,incongruent,1,0.6844000000059605
2,congruent,1,0.5568999999761581
2,incongruent,1,0.527699999988079
2,congruent,1,0.5189000000059605
2,congruent,1,0.5542000000178814
2,incongruent,1,0.5553000000119209
2,incongruent,1,0.6227999999821187
2,incongruent,1,0.5997000000178814
2,congruent,1,0.4544000000059605
2,congruent,1,0.4725999999940395
2,congruent,1,0.4912000000178814
2,congruent,1,0.5337999999821186
2,incongruent,1,0.5561000000238419
2,incongruent,1,0.5966000000238418
2,congruent,1,0.5123000000119209
2,incongruent,1,0.540800000011921
2,congruent,1,0.4895999999940395
2,congruent,1,0.4629000000059605
2,incongruent,0,0.40720000001788137
2,incongruent,1,0.6000999999940395
2,congruent,1,0.5217000000178814
2,congruent,1,0.4345
2,congruent,1,0.5005999999940396
2,incongruent,1,0.5173999999761582
2,incongruent,1,0.576199999988079
2,congruent,1,0.46509999999403956
2,incongruent,0,0.4525
2,incongruent,1,0.5627000000178813
2,congruent,1,0.5131000000238418
3,incongruent,1,0.565
3,incongruent,1,0.713
3,incongruent,1,0.737
3,congruent,1,0.477
3,congruent,1,0.418
3,congruent,1,0.617
3,incongruent,1,0.401
3,congruent,1,0.316
3,incongruent,1,0.707
3,incongruent,1,0.641
3,congruent,1,0.465
3,congruent,1,0.42
3,congruent,1,0.622
3,incongruent,1,0.419
3,incongruent,1,0.673
3,congruent,1,0.495
3,congruent,1,0.429
3,incongruent,1,0.33
3,congruent,1,0.519
3,incongruent,1,0.534
3,incongruent,1,0.393
3,congruent,1,0.652
3,congruent,1,0.317
3,incongruent,1,0.462
3,incongruent,1,0.723
3,incongruent,0,0.471
3,congruent,1,0.399
3,congruent,1,0.581
3,incongruent,1,0.507
3,congruent,1,0.447
3,congruent,1,0.504
3,incongruent,1,0.671
3,congruent,1,0.569
3,incongruent,1,0.383
3,congruent,1,0.391
3,congruent,1,0.716
3,congruent,1,0.479
3,incongruent,1,0.43
3,incongruent,1,0.388
3,incongruent,0,0.477
3,incongruent,1,0.542
3,incongruent,1,0.649
3,incongruent,1,0.576
3,congruent,1,0.411
3,congruent,1,0.647
3,congruent,1,0.477
3,congruent,1,0.333
3,incongruent,1,0.531
3,incongruent,1,0.461
3,congruent,1,0.382
3,incongruent,1,0.422
3,congruent,1,0.705
3,incongruent,1,0.76
3,congruent,1,0.532
3,congruent,1,0.462
3,incongruent,1,0.688
3,congruent,1,0.552
3,incongruent,1,0.533
3,congruent,1,0.677
3,incongruent,1,0.38
3,congruent,1,0.378
3,incongruent,1,0.544
3,congruent,1,0.681
3,incongruent,1,0.449
4,congruent,1,0.6883999999761582
4,congruent,1,0.5903999999761581
4,incongruent,1,0.6491000000238418
4,incongruent,1,0.5890999999046326
4,incongruent,1,0.6729000000953674
4,incongruent,1,0.7310999999046326
4,congruent,1,0.73
4,congruent,1,0.6742999999523163
4,congruent,1,0.5635
4,incongruent,1,0.6946000000238418
4,congruent,1,0.7121999999284744
4,incongruent,1,0.692
4,congruent,1,0.6068000000715256
4,incongruent,1,0.6333000000715255
4,incongruent,1,0.8156000000238418
4,congruent,1,0.7447999999523163
4,congruent,1,0.5853999999761581
4,congruent,1,0.6822999999523163
4,incongruent,1,0.7195
4,congruent,1,0.6998999999761581
4,incongruent,1,0.6587000000476837
4,incongruent,1,0.7735
4,congruent,1,0.6203999999761581
4,incongruent,1,0.707
4,congruent,1,0.614
4,incongruent,1,0.6043999999761581
4,congruent,1,0.6397000000476837
4,incongruent,1,0.6786999999284744
4,incongruent,1,0.655
4,congruent,1,0.6389000000953674
4,incongruent,1,0.7836999999284744
4,congruent,1,0.5562999999523163
4,incongruent,1,0.581
4,congruent,1,0.8580999999046326
4,congruent,1,0.5508000000715255
4,incongruent,1,0.8358000000715256
4,incongruent,1,0.6831000000238419
4,congruent,1,0.6278000000715256
4,congruent,1,0.6288000000715256
4,incongruent,1,0.5792999999523163
4,incongruent,1,0.6753999999761582
4,congruent,1,0.68
4,congruent,1,0.5666000000238418
4,congruent,1,0.7895
4,incongruent,1,0.6552000000476838
4,incongruent,1,0.6735
4,incongruent,1,0.8393999999761581
4,congruent,1,0.6506000000238419
4,congruent,1,0.8397000000476837
4,incongruent,1,0.6927000000476837
4,incongruent,1,0.5931000000238419
4,congruent,1,0.48679999995231626
4,incongruent,1,0.6611999999284744
4,congruent,1,0.5074000000953675
4,incongruent,1,0.8845
4,congruent,1,0.6468000000715256
4,incongruent,1,0.5633999999761582
4,congruent,1,0.6353000000715255
4,incongruent,1,0.7011000000238419
4,congruent,1,0.6341000000238418
4,congruent,1,0.6971000000238419
4,incongruent,1,0.792
4,incongruent,1,0.6351999999284744
4,congruent,1,0.6757999999523163
